,date,own_rank,adv_rank
0,1731768520,2468,1938
1,1731767342,2354,2468
2,1731767052,2468,2343
3,1731766619,2468,1934
4,1731765758,2468,2331
5,1731761578,2468,1875
6,1731760451,2468,1868
7,1731759799,2468,2308
8,1731759495,2468,2295
9,1731758535,2468,2282
10,1731757400,2468,2264
11,1731719787,2468,1912
12,1731718849,2468,1894
13,1731703022,2087,2466
14,1731702364,2464,2034
15,1731700843,2462,2029
16,1731691270,2252,2459
17,1731689998,2252,2459
18,1731689719,2459,2252
19,1731688564,2250,2459
20,1731687536,2455,2193
21,1731686798,2025,2453
22,1731676285,718,2453
23,1731676042,713,2453
24,1731675720,2452,707
25,1731675014,1637,2452
26,1731674401,2002,2450
27,1731673157,1662,2449
28,1731672361,2449,1662
29,1731629159,2449,1337
30,1731628671,2448,1421
31,1731627897,2447,1885
32,1731626946,2447,1441
33,1731626183,2447,623
34,1731625659,2446,622
35,1731372647,2446,1215
36,1731240994,2443,2160
37,1731240698,2439,2160
38,1731240301,2433,2272
39,1731239779,2432,1746
40,1731239709,47,2431
41,1731239142,0,2431
42,1731238864,1746,2430
43,1731238575,2429,1469
44,1731195746,994,2429
45,1731195574,2429,994
46,1731194913,297,2428
47,1731194429,1158,2428
48,1731194050,1745,2427
49,1731193393,2427,1519
50,1731193134,2426,1033
51,1731192813,1033,2426
52,1731192602,814,2426
53,1731192301,39,2425
54,1731191892,0,2424
55,1731191289,2422,2047
56,1731191179,2422,824
57,1731190904,45,2421
58,1731190756,1815,2420
59,1731189866,1766,2420
60,1731189267,2419,1304
61,1731188658,2419,1709
62,1730761789,2413,2236
63,1730207745,2412,1662
64,1730206658,2076,2411
65,1730206247,1544,2410
66,1730158528,1315,2410
67,1730158488,2409,1462
68,1730158010,2409,1951
69,1730157345,2409,2205
70,1729007878,2333,2409
71,1729007035,2406,692
72,1728999780,2104,2404
73,1728999027,2402,2104
74,1728997392,2400,2104
75,1728996925,2398,2104
76,1728996532,2395,2104
77,1728996143,2393,2104
78,1728995515,2392,1737
79,1728994686,2386,2383
80,1728994150,2374,2386
81,1728993101,2386,2364
82,1728992639,2361,2104
83,1728992307,2360,0
84,1728988632,2341,2350
85,1728988094,2345,2194
86,1728987798,2340,2194
87,1728987225,1651,2339
88,1728987185,2337,1797
89,1728986440,2335,1842
90,1728986045,2333,1943
91,1728985461,2193,2327
92,1728983424,2326,43
93,1728982793,1570,2325
94,1728982523,2323,1279
95,1728949840,2317,1971
96,1728949476,2316,1753
97,1728948811,2083,2313
98,1728948268,2307,2086
99,1728947921,2304,2083
100,1723824704,1985,1965
101,1723824472,2230,1965
102,1723823786,1965,1974
103,1723823398,1990,1956
104,1723823100,1946,2229
105,1723822421,2228,1946
106,1723815781,2219,1930
107,1723814411,2219,1919
108,1723813218,1919,2217
109,1723812642,1913,2217
110,1723811675,1913,2075
111,1723811336,2075,1901
112,1723811011,1972,1892
113,1723809558,1882,1972
114,1723808478,2035,1870
115,1723808001,1977,1859
116,1723805989,1976,1849
117,1723805444,1976,1831
118,1723804262,2174,1815
119,1723803214,1815,2054
120,1723802300,2174,1796
121,1723801646,2174,1796
122,1723800478,2087,1796
123,1723797300,1796,2053
124,1723796901,1996,1773
125,1723796304,2085,1773
126,1723795497,1763,1979
127,1723795347,1978,1763
128,1723409107,1963,1763
129,1723408853,1963,1733
130,1723408165,1727,2072
131,1723407574,2168,1697
132,1723405441,2156,1697
133,1723403197,1661,2197
134,1723402724,1623,1861
135,1723401961,1991,1623
136,1723401451,1928,1587
137,1723322345,1587,2113
138,1723317121,1989,1537
139,1723316762,1487,2090
140,1723316151,1874,1434
141,1723315716,1376,1988
142,1723309680,1361,2146
143,1723309343,1917,1294
144,1723308937,1222,1944
145,1723308562,1200,1983
146,1723307227,1927,1116
147,1723307049,1025,1913
148,1723306660,1890,929
149,1723306007,1926,905
150,1723304215,1594,792
151,1723303982,670,1594
152,1723303633,1688,538
153,1723303430,396,1458
154,1723303103,290,256
155,1723302292,1716,247
156,1723302157,1538,72
157,1723302001,0,883
158,1726854586,2042,2448
159,1725189677,2168,2445
160,1725188472,2122,2443
161,1725188168,2440,2122
162,1725187443,2122,2438
163,1725185557,2438,1832
164,1725182911,2000,2438
165,1725179649,1998,2438
166,1725179156,1998,2437
167,1725178783,2437,2004
168,1725128852,2031,2437
169,1725128200,2437,2031
170,1725127421,2147,2437
171,1725102268,2437,1962
172,1725093956,2437,1650
173,1725091961,2003,2435
174,1725091067,2434,1950
175,1725090309,1693,2434
176,1725023165,1939,2434
177,1725018538,2434,2123
178,1725015501,2434,2166
179,1725014549,2434,1970
180,1725013928,2434,1996
181,1725012565,1969,2434
182,1725011386,2116,2434
183,1725010634,2116,2433
184,1725010032,2116,2433
185,1724940229,2433,1049
186,1724921983,2433,1870
187,1724921522,2433,2122
188,1724919712,2433,1724
189,1724918348,1819,2433
190,1724868021,2433,2404
191,1724866584,1976,2431
192,1724863067,2096,2428
193,1724862396,2425,2044
194,1724861139,2423,2030
195,1724859631,2421,2068
196,1724857946,1395,2419
197,1724852710,1974,2418
198,1724851909,2416,2020
199,1724850341,2085,2413
200,1724848680,2412,1995
201,1724847960,2408,2027
202,1724836048,1947,2406
203,1724835526,1334,2404
204,1724834841,2401,1969
205,1724833545,2106,2398
206,1724790513,2397,1678
207,1724789411,2230,2392
208,1724788842,2390,2046
209,1724785283,2190,2386
210,1724784628,2384,2030
211,1724783754,2382,2030
212,1724783187,2380,1703
213,1724781399,2098,2377
214,1724780881,2374,2098
215,1724779946,1824,2372
216,1724778978,2370,1824
217,1724770373,2366,2098
218,1724769125,2364,1992
219,1724766720,2098,2361
220,1724765658,2355,2293
221,1724765408,2353,1969
222,1724764716,1920,2349
223,1724763937,2347,1643
224,1724763444,2344,1920
225,1724763133,2340,2098
226,1724762625,2336,2098
227,1724762214,2098,2333
228,1724761921,2329,2098
229,1724761239,2098,2324
230,1724760576,1946,2322
231,1724760424,2319,1946
232,1724756088,2312,2293
233,1724754716,2307,1959
234,1724754129,1937,2306
235,1724753733,2305,1937
236,1724749580,1869,2305
237,1724748932,2293,2305
238,1724683674,2305,2228
239,1724682669,2304,1864
240,1724682252,2304,1982
241,1724681251,2304,1862
242,1724680320,2304,2225
243,1724678454,1981,2303
244,1724660474,2303,2078
245,1724423816,2303,2182
246,1724422213,2222,2303
247,1724420852,2303,2291
248,1724419614,1970,2303
249,1724418014,2099,2302
250,1724417292,2155,2302
251,1724412697,2116,2302
252,1724411267,2302,1995
253,1724410474,2179,2301
254,1724410033,2301,2179
255,1724400420,1765,2301
256,1724367209,2301,1682
257,1724335245,2253,2290
258,1730990073,1555,1478
259,1730989100,1472,2029
260,1730987985,1885,1446
261,1730987098,1440,2029
262,1730772705,1433,1909
263,1730771827,0,1420
264,1729258441,1361,1395
265,1729257015,1359,1703
266,1729256335,1488,1324
267,1724676617,1318,1554
268,1724675815,1829,1310
269,1724675063,1308,1907
270,1724672154,1258,1797
271,1724671611,1792,1248
272,1724670868,1191,1801
273,1724670362,1644,1130
274,1724669622,1907,1120
275,1724668919,1835,1106
276,1724668475,1035,1800
277,1724667657,1718,1035
278,1724666714,1012,1951
279,1724640185,1886,1004
280,1724639295,903,1886
281,1724638763,1759,794
282,1724638076,757,2046
283,1724637267,710,2084
284,1724636652,570,1799
285,1724635615,422,1704
286,1724634329,259,1653
287,1724633857,85,1564
288,1724633340,1350,0
289,1731951540,2425,1787
290,1731950428,2486,2425
291,1731949884,2481,2425
292,1731949043,2481,2425
293,1731948635,766,2425
294,1731946592,2480,2425
295,1731946529,2425,1586
296,1731945602,2425,1705
297,1731943447,2474,2425
298,1731943174,2425,0
299,1731941851,2425,1965
300,1731940944,2473,2425
301,1731940624,1467,2425
302,1731939259,2425,2194
303,1731938865,1965,2425
304,1731627407,2425,1717
305,1731627067,2425,2357
306,1731625517,79,2425
307,1731625086,2425,45
308,1731586813,2425,1834
309,1731584317,2107,2425
310,1731583311,2425,1935
311,1731514254,1933,2425
312,1731513525,2425,1642
313,1731512977,2425,1287
314,1731512414,1287,2425
315,1731511379,2354,2425
316,1731510771,1762,2425
317,1731510288,2425,1428
318,1731510175,989,2425
319,1731504603,2425,2107
320,1731503071,2425,1548
321,1731502255,1548,2425
322,1731500401,2425,1861
323,1731499782,2425,0
324,1731498291,190,2425
325,1731497741,1813,2425
326,1731444046,1941,2425
327,1731372413,2080,2425
328,1731371708,1478,2425
329,1731346199,2425,1552
330,1731345688,1793,2425
331,1731330796,2425,1597
332,1731330283,2425,1724
333,1731329934,1574,2425
334,1731329499,2425,1574
335,1731329034,2425,0
336,1731328731,2110,2425
337,1731327961,2425,1892
338,1731151675,2425,981
339,1731147208,1560,2425
340,1731146618,1560,2425
341,1730986618,0,2425
342,1730986535,2425,1507
343,1730984952,2425,2029
344,1730984869,2425,1490
345,1730984127,2425,1376
346,1730982327,2029,2425
347,1730977766,365,2425
348,1730977318,2425,1641
349,1730976293,0,2425
350,1730975455,1572,2425
351,1730974684,218,2425
352,1730974215,2425,204
353,1730973355,2074,2425
354,1730767894,2425,1196
355,1730738205,1904,2425
356,1730737526,2425,1904
357,1730737219,1709,2425
358,1730736743,2425,1709
359,1730735926,2425,2150
360,1730735291,1835,2425
361,1730734608,1814,2425
362,1730730588,1799,2425
363,1730729940,2425,1799
364,1730729770,0,2425
365,1730728744,2425,2150
366,1730722667,2425,2029
367,1730721158,1908,2425
368,1730719880,1913,2425
369,1730718797,2425,1904
370,1730718455,1539,2425
371,1730717893,2425,1382
372,1730631533,2425,27
373,1730630362,2425,1827
374,1730629823,936,2425
375,1730627839,1113,2425
376,1730627222,1095,2425
377,1730626729,2425,1079
378,1730625772,2425,1941
379,1730584134,2425,2338
380,1730545708,2425,2005
381,1730531871,2425,1972
382,1730531164,1475,2425
383,1730531067,2425,1789
384,1730530993,2425,1789
385,1730468101,1748,2425
386,1730454503,1382,2425
387,1730452773,2215,2425
388,1730452166,1382,2425
389,1731455111,1751,1941
390,1731454703,1749,1462
391,1731454372,1749,2459
392,1731452992,1743,1736
393,1731452609,1739,1848
394,1731451124,1737,1895
395,1731450865,1568,1734
396,1731450572,1568,1732
397,1730256384,1729,1769
398,1730255433,1876,1729
399,1730254897,1865,1729
400,1730254434,1727,945
401,1730254101,1724,946
402,1730253725,0,1722
403,1730253458,1719,923
404,1730253180,1716,924
405,1730252573,1714,293
406,1730252217,1711,158
407,1727528790,1711,1861
408,1726574393,1088,1711
409,1726573811,1708,1676
410,1726573065,1664,1705
411,1726572247,2062,1705
412,1726571664,2236,1705
413,1726571250,2060,1705
414,1726570462,2058,1705
415,1726569772,1698,1814
416,1726568971,2054,1698
417,1726568465,1685,1752
418,1726532556,1666,1649
419,1726531776,1643,1857
420,1726525892,1621,1765
421,1726524690,1597,1774
422,1726524015,1578,1774
423,1726523131,840,1578
424,1726522879,1578,712
425,1726522484,1747,1578
426,1726521816,2276,1571
427,1726521623,1566,1964
428,1726520794,1481,1537
429,1726519787,1504,1856
430,1726518911,1856,1468
431,1726518362,1856,1431
432,1726517932,1805,1391
433,1726517572,1809,1351
434,1726517113,1339,1943
435,1726500273,1292,1713
436,1726498545,1728,1241
437,1726498047,1901,1226
438,1726497409,1168,1717
439,1726496952,1106,1620
440,1726496130,1041,1717
441,1723415505,1731,971
442,1723414395,962,1540
443,1723414076,1514,881
444,1723413088,1665,862
445,1723412644,1735,848
446,1723411809,1795,829
447,1723411571,720,1534
